BK	NBR	ANS	QUESTION	CHOICE  A	CHOICE  B	CHOICE  C	CHOICE  D	ILLUSTRATION
1	1	C	INLAND ONLY You are navigating in a narrow channel and must remain in the channel for safe operation.  Another vessel is crossing the channel ahead of you from your starboard and you doubt whether your vessel will pass safely.  Which statement is TRUE?	"You must stop your vessel, since the other vessel is the stand-on."	You must sound one short blast of the whistle and turn to starboard.	You must sound the danger signal.	You must stop your engines and you may sound the danger signal.	
1	2	B	INLAND ONLY What is the required whistle signal for a power-driven vessel leaving a dock or berth?	One short blast	One prolonged blast	Two short blasts	Two prolonged blasts	
1	3	B	"INLAND ONLY In a narrow channel, you are underway on vessel ""A"" and desire to overtake vessel ""B"".  After you sound two short blasts on your whistle, vessel ""B"" sounds five short  and rapid blasts on the whistle.  You should __________."	"pass with caution on the port side of vessel ""B"""	"hold your relative position, and then sound another signal  after the situation has stabilized"	answer the five short blast signal then stop your vessel until the other vessel initiates a signal	"slow or stop and expect radical maneuvers from ""B"""	
1	4	B	INLAND ONLY A vessel proceeding downstream in a narrow channel on the Western Rivers sights another vessel moving  upstream.  Which vessel has the right of way?	The vessel moving upstream against the current	The vessel moving downstream with a following current	The vessel located more towards the channel centerline	The vessel sounding the first whistle signal	
1	5	A	INLAND ONLY You are overtaking a power-driven vessel in a narrow channel and wish to leave her on your starboard side.  You may __________.	attempt to contact her on the radiotelephone to arrange for the passage	proceed to overtake her without sounding whistle signals	sound five short blasts	All of the above	
1	6	B	INLAND ONLY A vessel displaying a flashing blue light is __________.	transferring dangerous cargo	a law enforcement vessel	a work boat	engaged in a race	
1	7	A	"INLAND ONLY When power-driven vessels are crossing, a signal of one short blast by either vessel means __________."	"""I intend to leave you on my port side"""	"""I intend to hold course and speed"""	"""I intend to change course to starboard"""	"""I request a departure from the Rules"""	
1	8	A	"INLAND ONLY If you were coming up on another power-driven vessel from dead astern and desired to overtake on the other vessel's starboard side, which whistle signal would you sound?"	One short blast	One prolonged blast	Two short blasts	Two prolonged blasts	
1	9	B	INLAND ONLY Which statement is TRUE concerning narrow channels?	You should keep to that side of the channel which is on your port side.	You should avoid anchoring in a narrow channel.	A vessel having a following current will propose the manner of passage in any case where two vessels are meeting.	All of the above	
1	10	D	INLAND ONLY Which term is NOT defined in the Inland Navigation Rules?	Seaplane	Restricted visibility	Underway	Vessel constrained by her draft	
1	11	C	"INLAND ONLY When you are overtaking another vessel and desire to pass on her left or port hand, you should sound __________."	one short blast	one long blast	two short blasts	two prolonged blasts	
1	12	D	"INLAND ONLY Your vessel is meeting another vessel head-on.  To comply with the steering and sailing rules, you should __________."	sound the danger signal	sound one prolonged and two short blasts	exchange two short blasts	exchange one short blast	
1	13	C	INLAND ONLY Yellow lights are NOT used to identify __________.	U.S. submarines	vessels pushing ahead	law enforcement vessels	dredge pipelines on trestles	
1	14	C	INLAND ONLY You have made your vessel up to a tow and are moving from a pier out into the main channel.  Your engines are turning ahead. What whistle signal should you sound?	One prolonged and two short blasts	Three long blasts	One prolonged blast	Five or more short rapid blasts	
1	15	C	"INLAND ONLY Under the Inland Navigation Rules, what is the  meaning of the two short blasts signal used when meeting another vessel?"	"""I am turning to starboard."""	"""I am turning to port."""	"""I intend to leave you on my starboard side."""	"""I intend to leave you on my port side."""	
1	16	D	"INLAND ONLY For the purpose of the Inland Navigation Rules, the term ""Inland Waters"" includes __________."	the Western Rivers	the Great Lakes on the United States side of the International Boundary	harbors and rivers shoreward of the COLREGS demarcation lines	All of the above	
1	17	D	INLAND ONLY A power-driven vessel crossing a river on the Western Rivers has the right of way over __________.	vessels ascending the river	vessels descending the river	all vessels ascending and descending the river	None of the above	
1	18	C	"INLAND ONLY Which lights are required for a barge, not part of a composite unit, being pushed ahead?"	Sidelights and a stern light	"Sidelights, a special flashing light, and a stern light"	Sidelights and a special flashing light	"Sidelights, a towing light, and a stern light"	
1	19	D	INLAND ONLY A power-driven vessel operating in a narrow channel with a following current on the Great Lakes or Western Rivers is meeting an upbound vessel.  Which statement is TRUE?	The downbound vessel has the right-of-way.	The downbound vessel must initiate the required maneuvering signals.	The downbound vessel must propose the manner and place of passage.	All of the above	
1	20	B	"INLAND ONLY Your vessel is proceeding down a channel, and can safely navigate only within the channel.  Another vessel is crossing your bow from port to starboard, and you are in doubt as to her intentions.  Which statement is TRUE?"	The sounding of the danger signal is optional.	The sounding of the danger signal is mandatory.	You should sound two short blasts.	You should sound one prolonged and two short blasts.	
1	21	D	INLAND ONLY The stand-on vessel in a crossing situation sounds one short blast of the whistle.  This means that the vessel __________.	intends to hold course and speed	is changing course to starboard	is changing course to port	intends to leave the other on her port side	
1	22	D	INLAND ONLY You are crossing the course of another vessel which is to your starboard.  You have reached an agreement  by radiotelephone to pass astern of the other vessel.  You  MUST __________.	sound one short blast	sound two short blasts	change course to starboard	None of the above	
1	23	C	INLAND ONLY Passing signals shall be sounded on inland waters by __________.	all vessels upon sighting another vessel rounding a bend in the channel	towing vessel when meeting another towing vessel on a clear day with a 0.6 mile CPA (Closest Point of Approach)	a power-driven vessel when crossing less than half a mile ahead of another power-driven vessel	All of the above	
1	24	B	BOTH INTERNATIONAL & INLAND Which of the day-shapes shown would you show on the after end of an inconspicuous partially submerged vessel or object being towed less than 200 meters in length?	A	B	C	No day-shape would be shown.	DIAGRAM_16
1	25	A	"INLAND ONLY In a narrow channel, a power-driven vessel desiring to overtake another power-driven vessel on the other vessel's  starboard side will sound a whistle signal of __________."	one short blast	two short blasts	two prolonged blasts followed by one short blast	two prolonged blasts followed by two short blasts	
